y, x
0.000000, 1.000000
0.800000, 0.696707
1.600000, -0.029200
2.400000, -0.737394
3.200000, -0.998295
4.000000, -0.653644
4.800000, 0.087499
5.600000, 0.775566
6.400001, 0.993185
7.200001, 0.608351
8.000001, -0.145501
8.800001, -0.811094
9.600001, -0.984688
10.400002, -0.560983
11.200002, 0.203007
12.000002, 0.843855
12.800002, 0.972832
13.600002, 0.511702
14.400002, -0.259820
15.200003, -0.873738
16.000002, -0.957659
16.800001, -0.460678
17.600000, 0.315744
18.400000, 0.900640
19.199999, 0.939221
19.999998, 0.408084
